Timestamp,"Dear participant,

The purpose of this study is to examine how implementing Agile Methodology influences flexibility, stakeholder collaboration, and adaptive capabilities in Business Intelligence (BI) projects.

Your participation is voluntary, and your responses will remain anonymous and confidential. The collected data will be used solely for academic and research purposes.

The survey will take approximately 8–10 minutes to complete.By proceeding, you confirm that you have read and understood the purpose of this study and that you voluntarily agree to participate.",please rate the following statements using this scale: ,Q2: What is the size of your organization?,Q1: Gender,  Q3 Age  ,  Q4 Educational Level  ,Q5 How many years of experience do you have working on Agile and Business Intelligence (BI) projects?,Q6: Power BI reports provide a clear view of overall performance.  ,Q7: Dashboards in Power BI accelerate decision-making.  ,Q8: Power BI enhances the accuracy of managerial decisions.  ,Q9: Power BI helps identify operational strengths and weaknesses.  ,Q10: Power BI significantly reduces the time needed to prepare reports.  ,Q11: Interactive visuals in Power BI improve understanding of market trends  ,Q12: Power BI tools improve coordination across departments.  ,Q13: Power BI supports accurate forecasting of future sales and demand.  ,Q14: SPSS provides accurate analytical results for operational data.  ,Q15: Statistical analysis helps identify key performance indicators clearly.  ,Q16: SPSS findings contribute to strategic planning and forecasting.  ,Q17: Using SPSS increases the efficiency of internal business processes.  ,Q18: Statistical results support evidence-based decision-making.  ,Q19: SPSS helps detect relationships between performance and market factors.  ,Q20: SPSS improves the ability to assess the effectiveness of management policies.,Q21: The organization adopts Agile methodologies in BI projects.  ,Q22: Regular meetings accelerate the completion of BI-related tasks.  ,Q23: Objectives and processes are quickly adjusted when new changes arise  ,Q24: Agile BI promotes continuous collaboration among teams.  ,Q25: Agile approaches reduce errors during BI report development.  ,Q26: Agile BI enhances the quality of decision-making under changing conditions.,Q26: Agile BI improves the organization’s response speed to market changes.  ,Q27: Agile BI allows continuous improvement and iterative development.  ,Q28: BI systems accelerate responses to market changes.  ,Q29: BI technologies improve resource utilization and efficiency.  ,Q30: BI enhances the organization’s ability to adapt to sudden changes  
12/13/2025 16:42:15,"Yes, I agree",5 = Strongly Agree,Large (more than 250 employees),Female,30-40,Master's degree,more than 10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 16:43:23,"Yes, I agree",5 = Strongly Agree,Large (more than 250 employees),Male,30-40,Master's degree,more than 10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 16:44:17,"Yes, I agree",5 = Strongly Agree,Large (more than 250 employees),Male,18-30,Bachelor's degree,1-3 years,4 = Agree,4-= Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,4 = Agree,4 = Agree
12/13/2025 16:45:05,"Yes, I agree",4 = Agree,Medium (51–250 employees),Male,30-40,Bachelor's degree,4-6 years,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,,3= Neutral,3= Neutral,3= Neutral,3= Neutral
12/13/2025 16:46:03,"Yes, I agree",4 = Agree,Medium (51–250 employees),Male,30-40,Master's degree,7-10 years,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 16:46:54,"Yes, I agree",4 = Agree,Medium (51–250 employees),Male,18-30,Bachelor's degree,4-6 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 16:49:20,"Yes, I agree",4 = Agree,Medium (51–250 employees),Male,30-40,Bachelor's degree,more than 10 years,1=  Strongly Disagree,5= Strongly Agree,5= Strongly Agree,3= Neutral,5= Strongly Agree,3= Neutral,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 16:59:57,"Yes, I agree",4 = Agree,Large (more than 250 employees),Female,40-50,PhD,more than 10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 17:01:17,"Yes, I agree",5 = Strongly Agree,Large (more than 250 employees),Male,40-50,PhD,more than 10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 17:02:01,"Yes, I agree",5 = Strongly Agree,Medium (51–250 employees),Male,30-40,Other,more than 10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 17:02:49,"Yes, I agree",5 = Strongly Agree,Small (1–50 employees),Male,30-40,Bachelor's degree,7-10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 17:03:34,"Yes, I agree",5 = Strongly Agree,Medium (51–250 employees),Female,30-40,Bachelor's degree,7-10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 17:04:23,"Yes, I agree",5 = Strongly Agree,Medium (51–250 employees),Male,50-60,PhD,more than 10 years,4 = Agree,4-= Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,4 = Agree,4 = Agree
12/13/2025 17:05:09,"Yes, I agree",4 = Agree,Medium (51–250 employees),Female,40-50,Master's degree,more than 10 years,4 = Agree,4-= Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,4 = Agree,4 = Agree
12/13/2025 17:06:25,"Yes, I agree",4 = Agree,Large (more than 250 employees),Male,40-50,Master's degree,more than 10 years,4 = Agree,4-= Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,5= Strongly Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,4 = Agree,4 = Agree
12/13/2025 17:07:13,"Yes, I agree",4 = Agree,Medium (51–250 employees),Male,30-40,Bachelor's degree,7-10 years,4 = Agree,4-= Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,4 = Agree,4 = Agree
12/13/2025 17:08:00,"Yes, I agree",4 = Agree,Medium (51–250 employees),Male,30-40,PhD,more than 10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 17:08:52,"Yes, I agree",4 = Agree,Large (more than 250 employees),Female,40-50,Other,more than 10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 17:13:17,"Yes, I agree",4 = Agree,Medium (51–250 employees),Female,18-30,Bachelor's degree,7-10 years,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,,2= Disagree,2= Disagree,2= Disagree,2= Disagree
12/13/2025 17:14:08,"Yes, I agree",4 = Agree,Medium (51–250 employees),Female,30-40,Master's degree,7-10 years,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,,3= Neutral,3= Neutral,3= Neutral,3= Neutral
12/13/2025 17:14:57,"Yes, I agree",4 = Agree,Large (more than 250 employees),Male,30-40,Master's degree,7-10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 17:16:16,"Yes, I agree",5 = Strongly Agree,Large (more than 250 employees),Male,18-30,Bachelor's degree,1-3 years,4 = Agree,4-= Agree,5= Strongly Agree,4 = Agree,4 = Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 17:18:52,"Yes, I agree",4 = Agree,Medium (51–250 employees),Female,30-40,Bachelor's degree,7-10 years,4 = Agree,4-= Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,4 = Agree,4 = Agree
12/13/2025 17:57:56,"Yes, I agree",5 = Strongly Agree,Medium (51–250 employees),Male,30-40,Bachelor's degree,7-10 years,4 = Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,4 = Agree,4 = Agree
12/13/2025 17:59:08,"Yes, I agree",4 = Agree,Medium (51–250 employees),Male,40-50,Bachelor's degree,more than 10 years,4 = Agree,5= Strongly Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,5= Strongly Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,4 = Agree,4 = Agree
12/13/2025 18:00:30,"Yes, I agree",4 = Agree,Medium (51–250 employees),Male,30-40,Bachelor's degree,7-10 years,4 = Agree,4-= Agree,4 = Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:01:42,"Yes, I agree",4 = Agree,Medium (51–250 employees),Male,50-60,Bachelor's degree,7-10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:02:28,"Yes, I agree",4 = Agree,Medium (51–250 employees),Female,30-40,Bachelor's degree,7-10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:03:24,"Yes, I agree",5 = Strongly Agree,Large (more than 250 employees),Female,30-40,Bachelor's degree,more than 10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:05:23,"Yes, I agree",5 = Strongly Agree,Medium (51–250 employees),Female,30-40,Bachelor's degree,7-10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:06:49,"Yes, I agree",5 = Strongly Agree,Medium (51–250 employees),Female,40-50,Master's degree,more than 10 years,4 = Agree,4-= Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:08:11,"Yes, I agree",5 = Strongly Agree,Large (more than 250 employees),Male,30-40,Master's degree,more than 10 years,5= Strongly Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,4 = Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:09:19,"Yes, I agree",5 = Strongly Agree,Medium (51–250 employees),Male,40-50,Master's degree,more than 10 years,5= Strongly Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:10:06,"Yes, I agree",5 = Strongly Agree,Medium (51–250 employees),Male,30-40,Bachelor's degree,7-10 years,5= Strongly Agree,4-= Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:11:52,"Yes, I agree",3 = Neutral,Medium (51–250 employees),Male,18-30,Bachelor's degree,4-6 years,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree,1=  Strongly Disagree
12/13/2025 18:12:45,"Yes, I agree",4 = Agree,Large (more than 250 employees),Male,40-50,Master's degree,more than 10 years,2= Disagree,2= Disagree,2= Disagree,2= Disagree,3= Neutral,2= Disagree,3= Neutral,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,2= Disagree,,2= Disagree,2= Disagree,2= Disagree,2= Disagree
12/13/2025 18:14:45,"Yes, I agree",5 = Strongly Agree,Large (more than 250 employees),Female,30-40,Master's degree,more than 10 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:15:49,"Yes, I agree",4 = Agree,Small (1–50 employees),Male,30-40,Bachelor's degree,more than 10 years,5= Strongly Agree,4-= Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,5= Strongly Agree,5= Strongly Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,4 = Agree,4 = Agree
12/13/2025 18:16:48,"Yes, I agree",5 = Strongly Agree,Small (1–50 employees),Male,18-30,PhD,4-6 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:17:51,"Yes, I agree",4 = Agree,Medium (51–250 employees),Female,30-40,Master's degree,more than 10 years,5= Strongly Agree,3= Neutral,4 = Agree,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,3= Neutral,,3= Neutral,3= Neutral,3= Neutral,3= Neutral
12/13/2025 18:18:43,"Yes, I agree",4 = Agree,Small (1–50 employees),Male,40-50,PhD,more than 10 years,3= Neutral,3= Neutral,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:19:36,"Yes, I agree",5 = Strongly Agree,Small (1–50 employees),Male,30-40,Master's degree,7-10 years,4 = Agree,4-= Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,,4 = Agree,4 = Agree,4 = Agree,4 = Agree
12/13/2025 18:20:32,"Yes, I agree",4 = Agree,Medium (51–250 employees),Male,30-40,Bachelor's degree,4-6 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:21:24,"Yes, I agree",4 = Agree,Large (more than 250 employees),Male,18-30,Bachelor's degree,1-3 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
12/13/2025 18:22:46,"Yes, I agree",5 = Strongly Agree,Small (1–50 employees),Male,18-30,Bachelor's degree,4-6 years,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree,5= Strongly Agree
